"","kingdom","phylum","class","order","family","genus","species","species_names","originalSpeciesName"
"1","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla californica","Callipepla_californica","Callipepla_californica"
"2","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla gambelii","Callipepla_gambelii","Callipepla_gambelii"
"3","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Colinus","Colinus virginianus","Colinus_virginianus","Colinus_virginianus"
"4","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Colinus","Colinus cristatus","Colinus_cristatus","Colinus_cristatus"
"5","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Colinus","Colinus nigrogularis","Colinus_nigrogularis","Colinus_nigrogularis"
"6","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Dendrortyx","Dendrortyx barbatus","Dendrortyx_barbatus","Dendrortyx_barbatus"
"7","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Philortyx","Philortyx fasciatus","Philortyx_fasciatus","Philortyx_fasciatus"
"8","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Rhynchortyx","Rhynchortyx cinctus","Rhynchortyx_cinctus","Rhynchortyx_cinctus"
"9","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Cyrtonyx","Cyrtonyx montezumae","Cyrtonyx_montezumae","Cyrtonyx_montezumae"
"10","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Oreortyx","Oreortyx pictus","Oreortyx_pictus","Oreortyx_pictus"
"11","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Odontophorus","Odontophorus leucolaemus","Odontophorus_leucolaemus","Odontophorus_leucolaemus"
"12","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Odontophorus","Odontophorus speciosus","Odontophorus_speciosus","Odontophorus_speciosus"
"13","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Odontophorus","Odontophorus erythrops","Odontophorus_erythrops","Odontophorus_erythrops"
"14","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Odontophorus","Odontophorus guttatus","Odontophorus_guttatus","Odontophorus_guttatus"
"15","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Odontophorus","Odontophorus gujanensis","Odontophorus_gujanensis","Odontophorus_gujanensis"
"16","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Odontophorus","Odontophorus capueira","Odontophorus_capueira","Odontophorus_capueira"
"17","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Odontophorus","Odontophorus stellatus","Odontophorus_stellatus","Odontophorus_stellatus"
"18","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Dactylortyx","Dactylortyx thoracicus","Dactylortyx_thoracicus","Dactylortyx_thoracicus"
"19","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Dendrortyx","Dendrortyx macroura","Dendrortyx_macroura","Dendrortyx_macroura"
"20","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla squamata","Callipepla_squamata","Callipepla_squamata"
"21","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla douglasii","Callipepla_douglasii","Callipepla_douglasii"
"22","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Colinus","Colinus leucopogon","Colinus_leucopogon","Colinus_leucopogon"
